Start Time,Peak Time,End Time,GOES Class,hpc_x,hpc_y
2024-01-21 08:34:00.000,2024-01-21 08:40:00.000,2024-01-21 08:46:00.000,C2.0,0.0,86.89545
2024-01-21 11:33:00.000,2024-01-21 11:37:00.000,2024-01-21 11:44:00.000,C2.5,0.0,87.08826
2024-01-21 15:22:00.000,2024-01-21 15:25:00.000,2024-01-21 15:29:00.000,C2.2,0.0,87.334284
2024-01-21 16:12:00.000,2024-01-21 16:23:00.000,2024-01-21 16:36:00.000,C2.9,0.0,87.387906
2024-01-21 16:56:00.000,2024-01-21 17:02:00.000,2024-01-21 17:12:00.000,C2.8,0.0,87.435066
2024-01-21 17:25:00.000,2024-01-21 17:34:00.000,2024-01-21 17:45:00.000,C3.9,0.0,87.466134
2024-01-21 18:23:00.000,2024-01-21 18:38:00.000,2024-01-21 18:55:00.000,C5.8,0.0,87.528228
2024-01-21 19:27:00.000,2024-01-21 19:35:00.000,2024-01-21 19:44:00.000,C6.7,0.0,87.5967
2024-01-22 00:26:00.000,2024-01-22 00:32:00.000,2024-01-22 00:48:00.000,C2.9,0.0,87.915822
2024-01-22 01:34:00.000,2024-01-22 01:47:00.000,2024-01-22 02:17:00.000,C6.5,0.0,87.988224
2024-01-22 03:59:00.000,2024-01-22 04:14:00.000,2024-01-22 04:30:00.000,C5.3,0.0,88.142394
2024-01-22 06:09:00.000,2024-01-22 06:22:00.000,2024-01-22 06:30:00.000,M1.5,0.0,88.28037
2024-01-22 07:17:00.000,2024-01-22 07:28:00.000,2024-01-22 07:37:00.000,C5.2,0.0,88.352448
2024-01-22 08:17:00.000,2024-01-22 08:25:00.000,2024-01-22 08:33:00.000,C5.8,0.0,88.415988
2024-01-22 11:12:00.000,2024-01-22 11:27:00.000,2024-01-22 11:44:00.000,C7.0,-364.914084,528.044796
2024-01-22 16:28:00.000,2024-01-22 16:49:00.000,2024-01-22 16:59:00.000,C7.0,0.0,88.934088
2024-01-22 19:28:00.000,2024-01-22 19:32:00.000,2024-01-22 19:36:00.000,M1.2,0.0,89.123178
